Customer_ID,Age,Gender,City,Occupation,Monthly_Income,Account_Type,Account_Tenure_Years,Avg_Monthly_Balance,Credit_Score,Number_of_Transactions,Last_Transaction_Days_Ago,Internet_Banking_Active,Mobile_App_Login_Freq,UPI_Transactions,Loan_Applied,Loan_Status,Complaint_Count,Customer_Service_Calls,Debit_Card_Usage,Credit_Card_Utilization,Reward_Points_Used,FD_Investment,Insurance_Product,Salary_Account,Relationship_Manager_Assigned,Competitor_Bank_Usage,Cashback_Offer_Response,Avg_UPI_Spend,Financial_Stress_Score,Digital_Engagement_Score,Product_Holding_Count,Estimated_Churn_Risk,Churn_Status,Retention_Recommendation
100000,59,Female,Bangalore      ,Retired   ,51244,Current,8,55462,615,22,83,Yes,12,33,Yes,Approved,1,3,High  ,11.75,254,No ,Yes            ,Yes,Yes,No ,Rejected,14750.14,27,19,3,25,No             ,Loyalty rewards program         
100001,23,Female,Pune           ,Business  ,51870,Current,5,5470,641,52,39,Yes,0,57,No ,No Loan ,0,1,Low   ,20.37,863,No ,Yes            ,No ,No ,No ,Ignored ,6801.34,47,19,1,45,Yes            ,Send cashback offers            
100002,30,Female,Bhopal         ,Student   ,70465,Savings,8,66452,563,60,62,Yes,31,14,Yes,Approved,2,5,High  ,61.6,161,Yes,Yes            ,Yes,Yes,Yes,Rejected,9801.05,26,25,4,35,No             ,Loyalty rewards program         
100003,48,Female,Delhi          ,Freelancer,38803,Savings,7,34953,526,68,33,Yes,8,26,No ,No Loan ,2,4,High  ,92.6,667,Yes,Yes            ,Yes,No ,Yes,Rejected,7183.02,42,14,3,10,No             ,Loyalty rewards program         
100004,52,Male  ,Bhopal         ,Retired   ,45448,Savings,7,52718,738,74,36,Yes,5,37,No ,No Loan ,3,3,Low   ,84.07,267,No ,No             ,No ,Yes,No ,Rejected,2553.37,38,15,0,25,No             ,Assign priority customer support
100005,47,Female,Pune           ,Government,77831,Savings,9,98353,636,41,106,Yes,13,31,Yes,Rejected,1,1,Low   ,31.58,363,Yes,No             ,Yes,No ,Yes,Ignored ,8010.93,5,19,3,45,Yes            ,Provide secured loan offer      
100006,46,Male  ,Bangalore      ,Salaried  ,93570,Savings,11,62557,801,59,69,Yes,5,63,No ,No Loan ,1,1,High  ,22.81,883,No ,No             ,Yes,No ,No ,Accepted,10167.78,23,24,1,35,No             ,Cross-sell FD and insurance     
100007,45,Female,Bangalore      ,Retired   ,67024,Current,2,64405,574,20,90,No ,10,42,No ,No Loan ,3,6,High  ,39.68,697,No ,No             ,No ,Yes,Yes,Accepted,9986.18,32,20,0,60,Yes            ,Assign priority customer support
100009,24,Female,Mumbai         ,Business  ,46156,Salary ,3,39652,738,48,46,Yes,8,49,No ,No Loan ,0,3,Medium,58.64,0,Yes,Yes            ,Yes,No ,No ,Ignored ,1547.93,30,21,3,0,No             ,Loyalty rewards program         
100010,52,Male  ,Chennai        ,Freelancer,36307,Current,11,81688,774,24,104,Yes,0,56,Yes,Approved,1,3,Medium,45.68,564,No ,Yes            ,Yes,Yes,No ,Rejected,635.54,14,18,3,40,No             ,Send cashback offers            
100011,45,Male  ,Bhopal         ,Freelancer,29102,Savings,10,500,618,52,58,Yes,6,46,No ,No Loan ,0,2,Medium,54.39,316,Yes,Yes            ,No ,No ,No ,Ignored ,711.91,49,19,2,20,No             ,Offer zero-balance upgrade      
100013,50,Male  ,Bangalore      ,Freelancer,79447,Current,14,23522,694,66,94,Yes,6,37,No ,No Loan ,2,3,High  ,82.8,986,Yes,No             ,Yes,No ,No ,Accepted,12186.94,48,16,2,25,No             ,Loyalty rewards program         
100014,63,Female,Kolkata        ,Student   ,61205,Savings,1,57649,706,22,29,Yes,14,25,Yes,Pending ,2,3,High  ,32.16,887,No ,No             ,Yes,No ,No ,Ignored ,3825.25,31,17,2,0,No             ,Loyalty rewards program         
100015,52,Male  ,Kolkata        ,Freelancer,63997,Salary ,8,45414,663,66,12,Yes,22,26,Yes,Approved,1,1,Medium,43.12,1213,No ,No             ,No ,No ,No ,Accepted,1466.39,32,23,1,10,No             ,Cross-sell FD and insurance     
100016,32,Female,Bangalore      ,Salaried  ,95123,Salary ,4,4100,644,81,111,Yes,13,43,No ,No Loan ,1,3,High  ,46.22,273,No ,Yes            ,Yes,No ,No ,Ignored ,10651.9,52,23,2,45,Yes            ,Offer zero-balance upgrade      
100018,41,Male  ,Mumbai         ,Freelancer,76840,Salary ,2,41630,628,35,15,Yes,5,78,Yes,Approved,2,5,Medium,91.49,364,Yes,Yes            ,No ,No ,Yes,Accepted,4711.96,39,29,3,0,No             ,Loyalty rewards program         
100019,40,Male  ,Mumbai         ,Business  ,49984,Savings,13,13047,684,54,46,Yes,23,0,No ,No Loan ,1,2,High  ,78.9,329,No ,Yes            ,No ,No ,Yes,Accepted,939.99,48,15,1,10,No             ,Cross-sell FD and insurance     
100020,26,Female,Bhopal         ,Student   ,73561,Current,5,97345,755,45,101,Yes,10,53,Yes,Rejected,1,1,Low   ,20.98,430,No ,Yes            ,Yes,No ,No ,Accepted,1417.28,6,24,3,45,Yes            ,Provide secured loan offer      
100021,37,Female,Mumbai         ,Business  ,77860,Savings,7,59361,668,72,66,Yes,11,35,No ,No Loan ,2,4,Low   ,53.69,579,No ,No             ,No ,Yes,No ,Accepted,5276.46,30,19,0,35,No             ,Cross-sell FD and insurance     
100022,63,Female,Hyderabad      ,Retired   ,19517,Savings,9,67438,614,91,75,Yes,1,42,No ,No Loan ,0,3,Low   ,44.99,410,No ,No             ,Yes,No ,No ,Ignored ,13423.84,16,14,1,50,Yes            ,Send cashback offers            
100024,38,Female,Bhopal         ,Business  ,103094,Savings,9,500,637,29,39,Yes,14,13,No ,No Loan ,1,1,Low   ,39.15,0,No ,No             ,No ,No ,Yes,Ignored ,9152.57,54,13,0,30,No             ,Offer zero-balance upgrade      
100025,26,Female,Bhopal         ,Government,55224,Savings,5,21487,753,19,112,Yes,6,26,No ,No Loan ,1,3,Medium,10.45,436,No ,No             ,No ,No ,No ,Rejected,3072.65,44,12,0,35,No             ,Cross-sell FD and insurance     
100027,32,Female,Mumbai         ,Salaried  ,50577,Savings,3,42597,713,41,22,Yes,14,48,No ,No Loan ,2,4,Low   ,40.5,918,No ,No             ,No ,No ,No ,Rejected,8024.68,38,25,0,10,No             ,Cross-sell FD and insurance     
100028,60,Female,Hyderabad      ,Freelancer,71050,Savings,6,500,731,48,72,Yes,14,17,No ,No Loan ,3,3,High  ,22.89,127,No ,No             ,No ,No ,No ,Accepted,7346.73,64,15,0,70,Yes            ,Offer zero-balance upgrade      
100030,51,Female,Bhopal         ,Student   ,31463,Salary ,13,96604,777,32,36,No ,6,36,Yes,Approved,2,2,High  ,27.47,518,No ,No             ,No ,No ,Yes,Accepted,7525.68,11,16,1,10,No             ,Cross-sell FD and insurance     
100031,26,Male  ,Pune           ,Retired   ,97970,Savings,5,33071,668,58,63,Yes,2,20,No ,No Loan ,0,0,Low   ,17.25,123,No ,Yes            ,No ,Yes,Yes,Ignored ,12564.82,33,8,1,50,Yes            ,Send cashback offers            
100032,39,Female,Chennai        ,Business  ,99714,Salary ,12,500,660,33,51,Yes,0,28,Yes,Approved,3,4,Medium,54.76,705,No ,Yes            ,No ,No ,No ,Ignored ,12470.28,64,9,2,50,Yes            ,Send cashback offers            
